run_id,seed,intensity,kind,anchor_rule_id,anchor_class,selected_p_index_or_id,past_volume,future_volume,past_depth,future_depth,volume_asymmetry,depth_asymmetry,boundary_distance_proxy_value,cheap_verdict,notes
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,RANDOM_ELIGIBLE_INTERNAL_POINT,ORDER_ONLY,236,198,168,31,17,0.08196721311475409,0.2916666666666667,17.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,RANDOM_ELIGIBLE_INTERNAL_POINT,ORDER_ONLY,314,147,258,25,25,0.2740740740740741,0.0,25.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,RANDOM_ELIGIBLE_INTERNAL_POINT,ORDER_ONLY,558,340,8,47,4,0.9540229885057471,0.8431372549019608,4.0,BOUNDARY_DOMINATED,order-depth proxy; near order-boundary proxy or very asymmetric cones
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,RANDOM_ELIGIBLE_INTERNAL_POINT,ORDER_ONLY,519,228,135,33,15,0.256198347107438,0.375,15.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,RANDOM_ELIGIBLE_INTERNAL_POINT,ORDER_ONLY,70,147,204,26,22,0.1623931623931624,0.08333333333333333,22.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,MIDRANK_ORDER_POINT,ORDER_ONLY,37,149,258,25,25,0.2678132678132678,0.0,25.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,MIDRANK_ORDER_POINT,ORDER_ONLY,78,144,270,25,25,0.30434782608695654,0.0,25.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,MIDRANK_ORDER_POINT,ORDER_ONLY,80,26,33,6,6,0.11864406779661017,0.0,6.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,MIDRANK_ORDER_POINT,ORDER_ONLY,314,147,258,25,25,0.2740740740740741,0.0,25.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
PRESENT_ANCHOR_SANITY_PILOT,1000000,600.0,BH,MIDRANK_ORDER_POINT,ORDER_ONLY,484,145,239,22,22,0.24479166666666666,0.0,22.0,PROMISING,order-depth proxy; nondegenerate bilateral cones under fixed cheap criteria
